               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098966,            0.030101,            0.026339,           0.0016513,                 0.5,           0.0046943,           0.0021017,             0.03917,            0.024864,            0.010211,              0.0973,              0.0003,              0.0003
                   1,             0.10069,            0.028972,            0.027857,           0.0020641,               0.625,           0.0075857,           0.0030353,            0.037339,            0.022987,            0.010028,            0.093688,          0.00068845,          0.00068845
                   2,            0.096724,            0.030997,            0.024091,           0.0023704,               0.625,            0.033722,            0.010304,            0.033439,             0.02145,           0.0096375,            0.090064,           0.0010637,           0.0010637
                   3,            0.067932,            0.029635,            0.020629,           0.0023835,               0.625,            0.049406,            0.019446,            0.029223,            0.019892,            0.009082,            0.086426,           0.0014257,           0.0014257
                   4,            0.091082,            0.030315,            0.027543,           0.0033357,               0.875,            0.062284,            0.024101,            0.026873,            0.019463,           0.0086609,            0.082775,           0.0017746,           0.0017746
                   5,            0.086454,            0.030926,            0.026964,            0.017948,                 0.5,             0.15467,            0.056149,            0.025493,            0.018688,           0.0085083,             0.07911,           0.0021103,           0.0021103
                   6,            0.081837,            0.030584,            0.025254,            0.033356,               0.625,              0.1745,            0.059687,            0.022122,            0.018431,           0.0080688,            0.075433,           0.0024327,           0.0024327
                   7,            0.066719,            0.029683,            0.022064,            0.013566,                   1,              0.1575,            0.048969,            0.022447,            0.017364,           0.0077393,            0.071742,            0.002742,            0.002742
                   8,            0.061054,            0.029482,            0.020538,            0.071836,               0.125,             0.23791,            0.085813,            0.021956,            0.016617,           0.0075317,            0.068038,            0.003038,            0.003038
                   9,            0.070638,            0.029922,             0.02358,            0.074977,                0.75,             0.38468,             0.18086,            0.021182,            0.016169,            0.007373,            0.064321,           0.0033208,           0.0033208
                  10,            0.050631,            0.026125,            0.015441,             0.72156,             0.49762,             0.41207,             0.12936,             0.02089,            0.016318,           0.0065979,             0.06059,           0.0035905,           0.0035905
                  11,            0.051033,             0.02714,            0.017381,             0.75568,                0.25,             0.39012,             0.13755,            0.020447,            0.016335,           0.0061829,            0.056847,            0.003847,            0.003847
                  12,             0.04656,            0.024926,            0.013597,             0.20404,             0.50317,             0.37052,             0.14918,            0.018646,            0.015601,           0.0056427,             0.05309,           0.0040902,           0.0040902
