               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  13,            0.053672,            0.026556,            0.026845,             0.68972,               0.375,             0.45611,             0.24757,            0.016897,            0.016525,           0.0059021,             0.04932,           0.0043202,           0.0043202
                  14,            0.048286,            0.023701,            0.023528,             0.41386,               0.625,             0.43776,              0.2805,            0.014952,            0.017946,           0.0057343,            0.045537,           0.0045371,           0.0045371
                  15,            0.050402,            0.024664,            0.014147,              0.3499,               0.625,             0.47125,             0.29209,            0.018473,            0.019375,           0.0053864,            0.041741,           0.0047408,           0.0047408
                  16,            0.044759,            0.023749,            0.014114,             0.16488,               0.625,             0.24494,            0.079409,            0.022293,            0.018732,           0.0053925,            0.037931,           0.0049312,           0.0049312
                  17,            0.059638,            0.023669,            0.015597,             0.32506,               0.625,             0.65846,             0.37466,            0.014673,            0.016947,           0.0049377,            0.034108,           0.0051084,           0.0051084
                  18,            0.054947,            0.023541,            0.013251,             0.39296,               0.625,             0.57089,             0.30824,             0.01664,            0.014704,           0.0045654,            0.030272,           0.0052725,           0.0052725
                  19,            0.043235,            0.019557,            0.011391,             0.40571,              0.7278,             0.61062,             0.30626,            0.021558,            0.012541,           0.0040558,            0.026423,           0.0054234,           0.0054234
                  20,             0.05552,            0.020988,            0.015771,             0.47774,               0.625,             0.72084,             0.38999,            0.017092,            0.010195,           0.0049255,            0.022561,            0.005561,            0.005561
                  21,            0.052758,            0.019999,            0.013311,             0.52193,             0.50525,             0.76709,             0.45685,            0.015225,             0.01032,           0.0049164,            0.018685,           0.0056854,           0.0056854
                  22,            0.048166,            0.019727,            0.012306,             0.41493,               0.625,             0.68911,             0.33115,            0.019666,           0.0095649,           0.0042908,            0.014797,           0.0057967,           0.0057967
                  23,            0.041171,            0.017872,           0.0078769,             0.59169,             0.70927,             0.71006,             0.38444,            0.021637,           0.0089769,           0.0039124,            0.010895,           0.0058948,           0.0058948
                  24,            0.049842,            0.021325,            0.014558,             0.72216,             0.58456,             0.76257,             0.48798,             0.01586,           0.0095823,           0.0032654,           0.0069796,           0.0059796,           0.0059796
                  25,            0.053972,             0.02026,           0.0087204,             0.41981,                0.75,             0.68167,             0.39869,            0.020131,           0.0085957,           0.0031372,            0.005875,            0.005875,            0.005875
                  26,            0.048732,            0.018644,            0.007526,             0.63389,               0.625,             0.77441,             0.45361,            0.017462,           0.0089133,           0.0026001,            0.005875,            0.005875,            0.005875
                  27,            0.039843,            0.019522,           0.0062738,             0.82217,             0.49253,             0.76299,             0.33492,            0.018681,           0.0086102,           0.0021408,             0.00571,             0.00571,             0.00571
                  28,             0.04502,            0.017663,           0.0056853,             0.51289,             0.63736,             0.72882,             0.45967,            0.018859,           0.0089509,           0.0019119,            0.005545,            0.005545,            0.005545
                  29,            0.058033,            0.017548,            0.012224,             0.68745,             0.51778,             0.71402,             0.43079,            0.017836,            0.009326,           0.0018341,             0.00538,             0.00538,             0.00538
                  30,            0.059891,            0.019026,            0.009704,             0.55458,             0.62048,             0.68448,             0.45005,             0.01608,           0.0095735,           0.0022034,            0.005215,            0.005215,            0.005215
                  31,            0.036168,            0.017487,           0.0053499,              0.7802,             0.58443,             0.74383,             0.41082,            0.013032,            0.010096,           0.0019958,             0.00505,             0.00505,             0.00505
                  32,            0.029902,            0.019217,           0.0040403,             0.87558,               0.375,             0.58618,             0.33706,            0.016524,           0.0094311,           0.0021347,            0.004885,            0.004885,            0.004885
                  33,            0.060013,            0.018261,            0.010588,             0.80324,               0.375,             0.59142,             0.33631,            0.017062,           0.0092765,           0.0027542,             0.00472,             0.00472,             0.00472
                  34,            0.039307,            0.016886,           0.0056438,             0.52355,             0.49818,             0.52364,             0.27433,            0.018353,           0.0091096,           0.0029053,            0.004555,            0.004555,            0.004555
                  35,            0.043599,            0.016589,           0.0045321,             0.55246,                 0.5,             0.61481,             0.29834,            0.018681,           0.0087059,           0.0028717,             0.00439,             0.00439,             0.00439
                  36,            0.046931,            0.015891,            0.004914,             0.50599,                 0.5,             0.59173,             0.26084,            0.019133,           0.0084405,           0.0029846,            0.004225,            0.004225,            0.004225
                  37,            0.047176,            0.016741,           0.0042726,              0.5108,                 0.5,             0.64001,             0.37136,            0.015679,           0.0090195,           0.0033691,             0.00406,             0.00406,             0.00406
                  38,            0.033997,            0.017447,           0.0047892,             0.55003,             0.56396,             0.61627,             0.29631,            0.017321,           0.0084993,             0.00383,            0.003895,            0.003895,            0.003895
                  39,            0.043065,            0.018346,            0.003307,             0.54769,               0.625,             0.63521,             0.31497,             0.01556,           0.0087062,           0.0041412,             0.00373,             0.00373,             0.00373
                  40,            0.043556,            0.019246,           0.0035354,             0.57166,             0.58627,             0.62555,             0.33514,            0.016274,           0.0086306,           0.0043243,            0.003565,            0.003565,            0.003565
                  41,            0.048321,            0.015672,           0.0052554,             0.59697,             0.62484,             0.62016,             0.36247,            0.014461,           0.0089778,           0.0045563,              0.0034,              0.0034,              0.0034
                  42,            0.047476,            0.015783,            0.010525,             0.55736,               0.625,             0.64486,             0.34517,            0.013023,           0.0093117,           0.0046997,            0.003235,            0.003235,            0.003235
                  43,            0.036846,            0.018038,            0.004273,             0.43835,               0.625,             0.58231,             0.33758,            0.011978,           0.0094947,           0.0039856,             0.00307,             0.00307,             0.00307
                  44,            0.045036,             0.01742,            0.011214,             0.46014,               0.625,             0.66497,             0.36482,            0.011239,           0.0094867,           0.0030487,            0.002905,            0.002905,            0.002905
                  45,            0.038826,            0.018321,           0.0046043,             0.57074,                0.75,             0.72242,             0.40971,           0.0097628,           0.0098044,              0.0028,             0.00274,             0.00274,             0.00274
                  46,            0.036796,            0.018177,           0.0035248,             0.52001,             0.67486,             0.68342,             0.39038,            0.010946,           0.0095271,           0.0027451,            0.002575,            0.002575,            0.002575
                  47,            0.045213,            0.018716,           0.0068967,             0.52653,             0.68895,             0.68364,             0.38672,            0.010302,           0.0097278,           0.0027573,             0.00241,             0.00241,             0.00241
                  48,            0.032265,            0.016447,           0.0031001,             0.52557,                 0.5,             0.62679,             0.36893,           0.0098453,           0.0098341,           0.0027573,            0.002245,            0.002245,            0.002245
                  49,            0.040389,            0.017203,            0.014516,             0.60052,             0.79323,             0.68681,              0.4174,            0.010019,           0.0093731,           0.0025101,             0.00208,             0.00208,             0.00208
                  50,            0.034446,            0.016794,           0.0069618,             0.57818,             0.72949,              0.8342,             0.48022,            0.011342,           0.0091766,           0.0023788,            0.001915,            0.001915,            0.001915
                  51,            0.029874,            0.017579,           0.0044695,             0.72189,               0.875,             0.86018,             0.54771,            0.010118,           0.0092345,            0.001973,             0.00175,             0.00175,             0.00175
                  52,            0.048521,            0.016324,           0.0068102,             0.64042,             0.83166,               0.845,             0.53187,           0.0097635,           0.0090907,            0.001796,            0.001585,            0.001585,            0.001585
                  53,            0.036491,            0.018724,            0.003636,             0.58603,             0.73879,                0.87,             0.50987,            0.010488,           0.0090443,           0.0017258,             0.00142,             0.00142,             0.00142
                  54,            0.033712,            0.017824,           0.0030382,             0.57741,                0.75,             0.78036,             0.42543,            0.010214,           0.0091721,           0.0017822,            0.001255,            0.001255,            0.001255
                  55,             0.03868,            0.017812,           0.0066143,             0.70206,             0.84504,              0.8955,             0.47782,            0.010099,           0.0092421,            0.001799,             0.00109,             0.00109,             0.00109
                  56,            0.027735,            0.017068,           0.0033267,             0.69125,             0.83755,              0.8955,             0.48108,            0.010009,           0.0092721,           0.0018555,            0.000925,            0.000925,            0.000925
                  57,            0.023805,            0.018378,           0.0027068,             0.67467,             0.83544,              0.8955,             0.46721,           0.0099036,            0.009343,           0.0018341,             0.00076,             0.00076,             0.00076
                  58,            0.030047,            0.016048,             0.01802,             0.65051,             0.91216,              0.8955,             0.48592,            0.010025,           0.0093933,           0.0017761,            0.000595,            0.000595,            0.000595
                  59,            0.036125,            0.016648,           0.0054762,             0.57684,             0.96942,             0.86021,             0.45608,            0.010029,            0.009517,           0.0017914,             0.00043,             0.00043,             0.00043
